Brand,Price,Launch Year,OS,CPU,CPU Architecture,RAM,Display Type,Screen Size,Screen to Body Ratio,Touch Screen,Height,Width,Thickness,Weight,Material,Camera Setup,Camera Autofocus,Camera Flash,Image Resolution,Capacity,Battery Type,Removable Battery,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,SIM Slot(s),Network Support,VoLTE,Wi-Fi,Bluetooth,GPS,NFC,FM Radio,Loudspeaker,Fingerprint Sensor,Waterproof,Wireless Charging,Heart Rate Monitor,Volume
Samsung,17999.0,2021,Android,Octa core,64 bit,6 GB,Other,6.7,86.66,Yes,163.9,76.3,9.5,218.0,Plastic,Single,No,No,63000000.0,7000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,118802.915
Other,11999.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,83.45,Yes,161.9,75.5,9.5,192.0,Other,Single,Yes,Yes,50122500.0,6000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,116122.77500000001
Samsung,12999.0,2021,Android,Octa core,64 bit,4 GB,Other,6.4,83.89,Yes,159.3,74.0,9.3,196.0,Plastic,Single,No,No,63000000.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,109630.26000000001
Other,13199.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.6,84.88,Yes,164.1,75.5,8.5,194.0,Other,Single,Yes,Yes,50122500.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,105311.17499999999
Other,13999.0,2021,Android,Octa core,64 bit,6 GB,Other,6.43,83.53,Yes,160.4,74.5,8.2,178.0,Plastic,Single,Yes,Yes,63000000.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,97988.36
Other,16999.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.67,84.61,Yes,165.3,76.8,9.4,215.0,Other,Single,Yes,Yes,48000000.0,5160.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,119333.37600000002
Other,13999.0,2021,Android,Octa core,64 bit,4 GB,Other,6.43,83.53,Yes,160.4,74.5,8.3,178.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,99183.34000000001
Other,11499.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.53,83.25,Yes,162.3,77.3,9.6,197.0,Plastic,Single,Yes,No,48000000.0,6000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,120439.584
Other,17999.0,2021,Android,Octa core,64 bit,6 GB,Other,6.67,85.8,Yes,164.5,76.1,8.1,192.0,Other,Single,Yes,Yes,63000000.0,5020.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,101399.44499999999
Other,12499.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,83.36,Yes,162.3,75.4,9.4,192.0,Plastic,Single,Yes,Yes,48000000.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,115031.74800000002
Other,19990.0,2021,Android,Octa core,64 bit,6 GB,Other,6.43,84.38,Yes,160.3,73.8,7.9,175.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,93458.10600000001
Samsung,9499.0,2021,Android,Octa core,64 bit,4 GB,Other,6.5,81.95,Yes,164.0,75.9,9.7,221.0,Plastic,Single,No,No,48000000.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,120741.72
Other,11499.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,81.7,Yes,164.5,75.9,9.6,207.0,Other,Single,Yes,Yes,50122500.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,119861.28
Other,17990.0,2021,Android,Octa core,64 bit,8 GB,IPS LCD,6.58,83.76,Yes,164.2,76.0,8.0,182.0,Other,Single,Yes,Yes,50122500.0,5000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,99833.59999999999
Other,8999.0,2021,Android,Octa core,64 bit,3 GB,IPS LCD,6.5,81.7,Yes,164.5,75.9,9.8,207.0,Other,Single,Yes,Yes,12780288.0,6000.0,Li-ion,No,Yes,Yes,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,122358.39000000001
Other,16999.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.8,85.43,Yes,169.6,75.9,9.8,225.0,Plastic,Single,Yes,Yes,108000000.0,6000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,126151.87200000002
Other,9999.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.53,83.06,Yes,163.3,77.0,9.1,198.0,Plastic,Single,Yes,Yes,12780288.0,5020.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,114424.31
Other,6999.0,2020,Android,Octa core,64 bit,2 GB,IPS LCD,6.53,81.08,Yes,164.9,77.0,9.0,194.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,114275.70000000001
Other,12494.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.51,81.57,Yes,164.4,76.3,8.4,192.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-ion,No,Yes,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,105367.24799999999
Other,11999.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.53,84.37,Yes,161.4,76.7,8.7,200.0,Other,Single,Yes,Yes,48000000.0,5020.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,107700.606
Other,13999.0,2021,Android,Octa core,64 bit,6 GB,Other,6.43,83.53,Yes,160.4,74.5,8.3,178.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,99183.34000000001
Other,14999.0,2020,Android,Octa core,64 bit,6 GB,IPS LCD,6.5,83.36,Yes,162.3,75.4,9.4,196.0,Other,Single,Yes,Yes,63000000.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,115031.74800000002
Samsung,11999.0,2021,Android,Octa core,64 bit,4 GB,Other,6.4,84.02,Yes,159.0,75.1,8.9,192.0,Plastic,Single,No,No,48000000.0,6000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,106274.01
Other,21999.0,2021,Android,Octa core,64 bit,6 GB,Other,6.55,85.25,Yes,160.5,75.7,6.9,157.0,Other,Single,Yes,Yes,63000000.0,4250.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,83833.96500000001
Other,7499.0,2020,Android,Octa core,64 bit,3 GB,IPS LCD,6.53,81.08,No,164.9,77.0,9.0,194.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,114275.70000000001
Other,13390.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.51,82.62,Yes,163.6,75.7,8.4,192.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,104029.96800000001
